user_id,consumption_time,amount
U000036,2024-12-01 04:53:11,119.41
U000144,2024-12-01 05:21:56,192.61
U000044,2024-12-01 07:27:44,90.87
U000092,2024-12-01 08:37:59,61.48
U000196,2024-12-01 10:09:22,345.32
U000117,2024-12-01 10:30:16,409.46
U000125,2024-12-01 12:10:48,386.86
U000172,2024-12-01 12:38:27,277.97
U000008,2024-12-01 14:17:22,427.16
U000148,2024-12-01 17:04:39,262.66
U000012,2024-12-01 19:14:13,224.47
U000145,2024-12-01 19:47:31,292.69
U000039,2024-12-01 20:06:37,462.15
U000065,2024-12-01 20:23:02,176.38
U000120,2024-12-01 21:15:17,400.45
U000054,2024-12-01 23:17:33,206.98
U000077,2024-12-01 23:20:17,146.33
U000008,2024-12-02 00:34:53,264.55
U000184,2024-12-02 03:52:10,342.38
U000120,2024-12-02 11:03:51,337.0
U000176,2024-12-02 12:41:32,409.35
U000162,2024-12-02 12:46:44,57.5
U000110,2024-12-02 14:54:32,41.39
U000057,2024-12-02 15:59:34,52.82
U000021,2024-12-02 19:03:32,425.04
U000133,2024-12-02 22:15:33,138.51
U000132,2024-12-02 22:33:28,64.95
U000016,2024-12-02 23:15:45,458.51
U000012,2024-12-03 01:23:03,23.32
U000128,2024-12-03 12:26:48,116.08
U000145,2024-12-03 12:38:07,55.13
U000125,2024-12-03 13:02:43,485.05
U000028,2024-12-03 13:18:37,326.48
U000168,2024-12-03 13:24:48,257.78
U000023,2024-12-03 14:03:59,290.98
U000157,2024-12-03 14:37:28,473.57
U000031,2024-12-03 18:28:02,175.84
U000084,2024-12-03 18:36:47,207.26
U000118,2024-12-03 21:22:54,452.75
U000128,2024-12-03 22:05:47,217.93
U000098,2024-12-03 22:17:59,360.05
U000126,2024-12-03 23:09:54,96.91
U000106,2024-12-04 00:09:50,310.53
U000056,2024-12-04 06:01:16,17.86
U000184,2024-12-04 09:43:36,142.66
U000182,2024-12-04 12:40:06,69.72
U000100,2024-12-04 20:48:52,388.99
U000139,2024-12-04 22:07:45,15.05
U000105,2024-12-04 22:40:41,236.49
U000129,2024-12-04 23:29:48,97.52
U000026,2024-12-05 00:02:22,429.37
U000040,2024-12-05 07:38:59,260.1
U000063,2024-12-05 08:31:17,49.23
U000030,2024-12-05 09:09:16,294.25
U000153,2024-12-05 09:11:46,298.31
U000060,2024-12-05 12:31:32,140.43
U000100,2024-12-05 12:48:46,269.83
U000169,2024-12-05 12:54:43,44.49
U000025,2024-12-05 13:00:13,136.64
U000023,2024-12-05 14:55:39,195.98
U000011,2024-12-05 18:37:21,10.54
U000140,2024-12-05 19:39:09,74.52
U000116,2024-12-05 20:12:01,205.83
U000108,2024-12-05 21:05:41,240.23
U000134,2024-12-05 21:37:53,344.87
U000065,2024-12-05 22:43:33,251.28
U000200,2024-12-05 23:16:08,308.25
U000039,2024-12-05 23:44:11,111.94
U000134,2024-12-05 23:44:46,10.62
U000013,2024-12-06 00:24:29,397.17
U000127,2024-12-06 06:21:03,31.36
U000083,2024-12-06 10:03:20,34.48
U000103,2024-12-06 13:26:05,297.83
U000088,2024-12-06 14:13:04,299.84
U000075,2024-12-06 14:21:23,22.92
U000035,2024-12-06 19:39:40,51.04
U000102,2024-12-06 20:27:02,22.43
U000154,2024-12-06 21:20:13,355.46
U000120,2024-12-06 22:43:24,390.16
U000016,2024-12-06 23:29:01,203.2
U000105,2024-12-07 03:46:12,335.68
U000107,2024-12-07 10:18:45,461.73
U000132,2024-12-07 11:30:25,208.24
U000180,2024-12-07 15:16:10,191.07
U000116,2024-12-07 16:31:53,178.9
U000037,2024-12-07 17:17:09,237.97
U000097,2024-12-07 17:49:31,465.38
U000009,2024-12-07 18:01:52,151.04
U000124,2024-12-07 18:23:12,414.35
U000125,2024-12-07 18:33:49,243.66
U000177,2024-12-07 19:05:59,47.51
U000137,2024-12-07 21:03:01,372.4
U000064,2024-12-07 22:30:32,418.59
U000142,2024-12-07 22:36:39,36.46
U000037,2024-12-08 04:00:20,85.37
U000135,2024-12-08 12:13:55,459.24
U000027,2024-12-08 13:12:51,108.57
U000114,2024-12-08 14:30:09,483.95
U000003,2024-12-08 15:57:06,354.05
U000019,2024-12-08 16:09:47,200.47
U000029,2024-12-08 16:13:56,245.85
U000121,2024-12-08 16:49:00,212.62
U000183,2024-12-08 17:27:22,358.15
U000122,2024-12-08 19:49:36,103.21
U000044,2024-12-08 20:07:26,407.57
U000059,2024-12-08 20:52:08,299.22
U000177,2024-12-08 21:28:35,355.35
U000015,2024-12-08 22:14:15,119.55
U000030,2024-12-08 22:32:32,38.94
U000047,2024-12-08 23:12:28,409.11
U000125,2024-12-09 00:28:11,319.14
U000173,2024-12-09 00:49:02,208.7
U000039,2024-12-09 09:51:23,266.63
U000047,2024-12-09 14:38:50,270.2
U000119,2024-12-09 18:05:45,292.61
U000001,2024-12-09 19:42:02,287.14
U000153,2024-12-09 20:16:59,12.88
U000028,2024-12-09 21:10:30,308.49
U000030,2024-12-09 21:36:38,41.37
U000030,2024-12-10 01:02:40,411.98
U000047,2024-12-10 13:03:59,169.24
U000067,2024-12-10 14:30:27,329.91
U000126,2024-12-10 14:31:12,148.43
U000180,2024-12-10 18:58:40,60.47
U000094,2024-12-10 19:40:00,465.65
U000024,2024-12-10 20:56:50,220.63
U000200,2024-12-10 20:57:02,73.16
U000169,2024-12-10 21:46:53,312.79
U000152,2024-12-10 22:50:32,494.1
U000090,2024-12-10 23:06:45,278.27
U000132,2024-12-10 23:17:39,253.57
U000086,2024-12-10 23:30:17,163.34
U000030,2024-12-11 02:24:06,183.62
U000197,2024-12-11 02:35:39,147.66
U000036,2024-12-11 05:26:53,398.5
U000199,2024-12-11 07:04:25,317.62
U000079,2024-12-11 07:46:04,476.56
U000003,2024-12-11 12:17:44,111.38
U000200,2024-12-11 13:32:23,89.24
U000150,2024-12-11 18:49:47,206.65
U000183,2024-12-11 19:52:43,217.15
U000131,2024-12-11 22:29:09,356.21
U000096,2024-12-11 23:50:20,19.73
U000178,2024-12-12 01:21:09,293.99
U000175,2024-12-12 06:11:35,499.61
U000018,2024-12-12 08:11:09,187.92
U000109,2024-12-12 09:28:28,191.4
U000151,2024-12-12 09:59:04,258.49
U000091,2024-12-12 12:27:44,256.54
U000177,2024-12-12 12:47:47,215.26
U000080,2024-12-12 13:38:33,307.37
U000086,2024-12-12 13:43:58,435.81
U000194,2024-12-12 13:54:29,148.52
U000185,2024-12-12 20:23:22,233.05
U000031,2024-12-12 21:21:59,260.18
U000172,2024-12-12 21:25:07,138.49
U000132,2024-12-12 22:15:13,362.49
U000142,2024-12-12 22:20:11,443.65
U000188,2024-12-12 22:52:59,228.31
U000036,2024-12-13 05:54:02,291.44
U000115,2024-12-13 07:23:45,436.32
U000118,2024-12-13 12:26:29,372.98
U000081,2024-12-13 12:42:24,393.21
U000091,2024-12-13 13:18:17,200.61
U000158,2024-12-13 19:00:01,19.09
U000013,2024-12-13 19:38:35,433.89
U000062,2024-12-13 22:31:07,152.33
U000061,2024-12-14 09:34:39,340.51
U000120,2024-12-14 10:55:31,349.1
U000195,2024-12-14 12:05:47,400.54
U000045,2024-12-14 12:39:36,321.25
U000150,2024-12-14 14:56:11,15.82
U000070,2024-12-14 19:02:56,200.96
U000073,2024-12-14 19:48:09,361.5
U000185,2024-12-14 22:03:32,143.66
U000173,2024-12-15 05:56:01,63.09
U000004,2024-12-15 08:41:45,43.69
U000118,2024-12-15 09:25:42,195.02
U000176,2024-12-15 11:23:53,329.51
U000090,2024-12-15 12:08:00,384.42
U000124,2024-12-15 12:52:30,239.81
U000169,2024-12-15 13:33:35,28.2
U000005,2024-12-15 14:09:42,334.98
U000199,2024-12-15 15:37:45,241.52
U000129,2024-12-15 18:34:05,69.27
U000157,2024-12-15 19:37:30,16.08
U000136,2024-12-15 20:14:03,122.17
U000082,2024-12-15 21:07:18,426.13
U000169,2024-12-15 22:20:59,289.64
U000188,2024-12-16 01:52:41,388.97
U000128,2024-12-16 04:43:24,385.4
U000126,2024-12-16 09:39:49,487.11
U000109,2024-12-16 12:42:46,306.43
U000078,2024-12-16 13:07:53,102.99
U000102,2024-12-16 13:43:01,330.62
U000095,2024-12-16 13:43:52,458.66
U000073,2024-12-16 13:56:18,256.23
U000028,2024-12-16 18:22:25,411.34
U000019,2024-12-16 18:22:33,446.32
U000196,2024-12-16 19:11:14,346.22
U000076,2024-12-16 19:12:30,143.97
U000061,2024-12-16 21:38:27,231.56
U000191,2024-12-16 22:13:42,323.58
U000092,2024-12-16 22:51:36,436.23
U000163,2024-12-16 23:16:08,398.67
U000056,2024-12-16 23:27:45,174.86
U000071,2024-12-17 07:16:33,304.41
U000191,2024-12-17 07:41:26,390.64
U000060,2024-12-17 09:04:56,142.2
U000154,2024-12-17 09:38:48,52.47
U000183,2024-12-17 11:28:27,86.64
U000011,2024-12-17 12:40:36,17.11
U000139,2024-12-17 19:16:40,313.85
U000041,2024-12-17 20:03:41,250.55
U000059,2024-12-17 20:22:20,191.55
U000131,2024-12-17 20:58:09,384.15
U000100,2024-12-17 22:02:36,351.03
U000177,2024-12-17 22:50:57,169.87
U000073,2024-12-18 00:03:01,266.23
U000138,2024-12-18 08:17:17,152.09
U000119,2024-12-18 12:06:47,328.89
U000190,2024-12-18 12:54:43,197.06
U000059,2024-12-18 17:38:47,424.13
U000187,2024-12-18 19:58:44,380.25
U000125,2024-12-18 22:00:57,465.83
U000089,2024-12-18 23:26:51,112.49
U000095,2024-12-18 23:33:16,64.4
