user_id,registration_date
U000030,2024-12-01 03:47:04
U000039,2024-12-01 06:30:55
U000005,2024-12-01 11:11:50
U000034,2024-12-01 11:47:30
U000124,2024-12-01 13:51:05
U000099,2024-12-01 16:33:40
U000078,2024-12-01 18:11:29
U000190,2024-12-01 19:16:49
U000151,2024-12-01 23:58:37
U000106,2024-12-02 04:09:13
U000094,2024-12-02 04:54:11
U000041,2024-12-02 08:21:33
U000123,2024-12-02 12:09:40
U000076,2024-12-02 13:17:51
U000061,2024-12-02 20:06:23
U000015,2024-12-02 21:01:53
U000129,2024-12-02 21:23:43
U000051,2024-12-03 05:32:44
U000197,2024-12-03 10:59:31
U000134,2024-12-03 17:57:48
U000049,2024-12-04 02:32:54
U000120,2024-12-04 09:41:04
U000068,2024-12-04 13:53:40
U000181,2024-12-04 18:07:20
U000112,2024-12-04 20:51:34
U000017,2024-12-05 00:34:12
U000074,2024-12-05 09:10:32
U000043,2024-12-05 09:55:46
U000008,2024-12-05 20:48:27
U000009,2024-12-05 21:38:23
U000067,2024-12-05 22:19:25
U000080,2024-12-06 14:10:00
U000169,2024-12-06 18:08:00
U000195,2024-12-06 22:40:26
U000026,2024-12-06 23:33:57
U000105,2024-12-06 23:59:31
U000070,2024-12-07 05:12:56
U000092,2024-12-07 08:54:57
U000177,2024-12-07 10:35:41
U000029,2024-12-07 10:50:02
U000122,2024-12-07 15:53:15
U000022,2024-12-07 16:33:53
U000052,2024-12-07 20:59:39
U000156,2024-12-08 03:33:06
U000103,2024-12-08 08:09:09
U000085,2024-12-08 14:42:12
U000031,2024-12-08 18:40:02
U000014,2024-12-08 18:50:39
U000093,2024-12-08 18:51:00
U000132,2024-12-08 19:31:09
U000185,2024-12-08 19:54:25
U000174,2024-12-08 21:53:51
U000131,2024-12-08 23:13:33
U000196,2024-12-09 11:02:28
U000057,2024-12-09 18:05:16
U000168,2024-12-09 18:05:32
U000152,2024-12-09 19:03:38
U000114,2024-12-10 14:49:50
U000023,2024-12-10 19:57:40
U000046,2024-12-10 22:30:13
U000189,2024-12-11 12:01:15
U000003,2024-12-11 21:15:46
U000027,2024-12-11 23:55:18
U000058,2024-12-12 07:58:10
U000198,2024-12-12 09:17:27
U000081,2024-12-12 09:31:27
U000178,2024-12-12 12:25:33
U000036,2024-12-12 13:28:41
U000108,2024-12-12 13:32:06
U000171,2024-12-12 18:01:44
U000007,2024-12-12 21:55:46
